mode,rep,n,it,repartition_interval,seconds,iter_per_sec,mpoints_per_sec,gnnz_spmv_per_sec,profile,log,source_file
cpu,1,100000000,2000,0,11.1914,178.708,17870.8,53.6125,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep1/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep1/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep1/result.csv
cpu,2,100000000,2000,0,11.1323,179.658,17965.8,53.8974,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep2/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep2/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep2/result.csv
cpu,3,100000000,2000,0,11.1601,179.21,17921,53.7631,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep3/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep3/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp0_rep3/result.csv
cpu,1,100000000,2000,1000,12.2533,163.222,16322.2,48.9666,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep1/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep1/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep1/result.csv
cpu,2,100000000,2000,1000,12.1969,163.976,16397.6,49.1928,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep2/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep2/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep2/result.csv
cpu,3,100000000,2000,1000,12.4916,160.107,16010.7,48.0322,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep3/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep3/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp1000_rep3/result.csv
cpu,1,100000000,2000,100,38.1812,52.3817,5238.17,15.7145,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep1/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep1/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep1/result.csv
cpu,2,100000000,2000,100,38.2685,52.2624,5226.24,15.6787,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep2/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep2/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep2/result.csv
cpu,3,100000000,2000,100,38.3136,52.2008,5220.08,15.6602,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep3/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep3/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp100_rep3/result.csv
cpu,1,100000000,2000,10,296.195,6.7523,675.23,2.02569,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp10_rep1/cpu.gz,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp10_rep1/cpu.log,/pscratch/sd/r/rchanani/LegionSolvers/scratch/profiles/paper_3rep_20260716/interactive_repart_20260716_184000/tasks/cpu_rp10_rep1/result.csv
