app,p,n,gpu_us_median,gpu_us_min,gpu_us_max,cpu_us_median,cpu_us_min,cpu_us_max,speedup_median,speedup_min,speedup_max
circuit,1,3,4361.0,4115.0,4591.0,115798.0,115570.0,115918.0,26.580601,25.222827,28.085055
circuit,2,3,4292.0,4206.0,4305.0,119347.0,118998.0,120802.0,27.725536,27.72288,28.72135
circuit,3,3,4736.0,4718.0,4816.0,120285.0,119254.0,135950.0,25.494913,24.762043,28.705659
circuit,4,3,4861.0,4851.0,5077.0,126968.0,123930.0,234352.0,25.494754,25.00847,48.310039
miniaero,1,3,6961.0,6949.0,6965.0,112100.0,112095.0,112508.0,16.131098,16.09476,16.16262
miniaero,2,3,7959.0,7909.0,8065.0,122461.0,120576.0,125762.0,15.386481,15.245417,15.593552
miniaero,3,3,8690.0,8558.0,8836.0,142240.0,134293.0,261831.0,16.097782,15.692101,30.13015
miniaero,4,3,8928.0,8889.0,9066.0,136408.0,135285.0,139640.0,15.15289,15.046106,15.709304
pennant,1,3,8217.0,8044.0,8238.0,143426.0,141496.0,144765.0,17.617744,17.176014,17.830184
pennant,2,3,9502.0,9330.0,9545.0,193297.0,189225.0,198938.0,20.28135,20.251126,20.936434
pennant,3,3,9719.0,9502.0,9757.0,194654.0,191616.0,337206.0,20.16586,19.95019,34.695545
pennant,4,3,8661.0,8577.0,9091.0,203107.0,198489.0,325921.0,23.142008,22.341547,37.630874
