app,p,rep,ll_gpu,ll_util,dp_workers,num_nodes,num_edges,num_pieces,field_instance_size,gpu_us,cpu_us,gpu_noisect_us,cpu_isect_us,gpu_isect_us,cpu_noisect_us,speedup,source_file,gx,gy,gz,bx,by,bz,num_cells,num_faces,nzx,nzy,numpcx,numpcy,num_zones,num_sides,num_points
circuit,1,1,1,1,1,1,4500000,1,4500000,4115,115570,4115,115570,4173,103129,28.085055,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p1_rep1.csv,,,,,,,,,,,,,,,
circuit,1,2,1,1,1,1,4500000,1,4500000,4361,115918,4361,115918,4256,103958,26.580601,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p1_rep2.csv,,,,,,,,,,,,,,,
circuit,1,3,1,1,1,1,4500000,1,4500000,4591,115798,4591,115798,4374,103829,25.222827,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p1_rep3.csv,,,,,,,,,,,,,,,
circuit,2,1,2,2,2,2,9000000,2,4500000,4206,120802,4206,120802,4505,622383,28.721350,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p2_rep1.csv,,,,,,,,,,,,,,,
circuit,2,2,2,2,2,2,9000000,2,4500000,4292,118998,4292,118998,4447,571514,27.725536,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p2_rep2.csv,,,,,,,,,,,,,,,
circuit,2,3,2,2,2,2,9000000,2,4500000,4305,119347,4305,119347,4314,1129254,27.722880,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p2_rep3.csv,,,,,,,,,,,,,,,
circuit,3,1,3,3,3,3,13500000,3,4500000,4736,135950,4736,135950,4667,2221985,28.705659,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p3_rep1.csv,,,,,,,,,,,,,,,
circuit,3,2,3,3,3,3,13500000,3,4500000,4816,119254,4816,119254,4559,1683949,24.762043,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p3_rep2.csv,,,,,,,,,,,,,,,
circuit,3,3,3,3,3,3,13500000,3,4500000,4718,120285,4718,120285,4600,2410730,25.494913,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p3_rep3.csv,,,,,,,,,,,,,,,
circuit,4,1,4,4,4,4,18000000,4,4500000,5077,126968,5077,126968,4854,2547700,25.008470,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p4_rep1.csv,,,,,,,,,,,,,,,
circuit,4,2,4,4,4,4,18000000,4,4500000,4861,123930,4861,123930,5554,3189493,25.494754,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p4_rep2.csv,,,,,,,,,,,,,,,
circuit,4,3,4,4,4,4,18000000,4,4500000,4851,234352,4851,234352,5311,2906327,48.310039,/pscratch/sd/r/rchanani/realm/.local/paper_3rep_20260716/interactive_weak_20260716_184000/tasks/circuit_p4_rep3.csv,,,,,,,,,,,,,,,
