experiment,op,dimension,density,sparse_factor,buffer_size,repeat,timing_source,time_us,time_ms,selected_field,gpu_tiles,gpu_oom_backoffs,gpu_host_fallback,gpu_input_rects,gpu_scratch_bytes,tile_rows_seen,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,global_index,shard_id,field_mode,block_volume
tile_sweep_publication,image,1d,dense,1,1,1,cpu_source,45603,45.603,cpu_us,,,,,,,1,1,1000000,1000000,4,1,0,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,1,1,gpu_source,38893,38.893,gpu_us,32,104,1,32,14800000,2,1,1,1000000,1000000,4,1,1,1,block_random,1024
tile_sweep_publication,image,1d,dense,1,2,1,cpu_source,47127,47.127,cpu_us,,,,,,,1,1,1000000,1000000,4,1,2,2,block_random,1024
tile_sweep_publication,image,1d,dense,1,2,1,gpu_source,16960,16.96,gpu_us,16,39,1,16,27600001,2,1,1,1000000,1000000,4,1,3,3,block_random,1024
tile_sweep_publication,image,1d,dense,1,3,1,cpu_source,46334,46.334,cpu_us,,,,,,,1,1,1000000,1000000,4,1,4,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,3,1,gpu_source,17586,17.586,gpu_us,16,39,1,16,40400001,2,1,1,1000000,1000000,4,1,5,1,block_random,1024
tile_sweep_publication,image,1d,dense,1,4,1,cpu_source,45781,45.781,cpu_us,,,,,,,1,1,1000000,1000000,4,1,6,2,block_random,1024
tile_sweep_publication,image,1d,dense,1,4,1,gpu_source,8920,8.92,gpu_us,8,14,1,8,53200002,2,1,1,1000000,1000000,4,1,7,3,block_random,1024
tile_sweep_publication,image,1d,dense,1,5,1,cpu_source,45988,45.988,cpu_us,,,,,,,1,1,1000000,1000000,4,1,8,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,5,1,gpu_source,9258,9.258,gpu_us,8,14,1,8,66000003,2,1,1,1000000,1000000,4,1,9,1,block_random,1024
tile_sweep_publication,image,1d,dense,1,7,1,cpu_source,46229,46.229,cpu_us,,,,,,,1,1,1000000,1000000,4,1,10,2,block_random,1024
tile_sweep_publication,image,1d,dense,1,7,1,gpu_source,4642,4.642,gpu_us,4,5,1,4,91600004,2,1,1,1000000,1000000,4,1,11,3,block_random,1024
tile_sweep_publication,image,1d,dense,1,10,1,cpu_source,47121,47.121,cpu_us,,,,,,,1,1,1000000,1000000,4,1,12,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,10,1,gpu_source,4715,4.715,gpu_us,4,5,1,4,130000006,2,1,1,1000000,1000000,4,1,13,1,block_random,1024
tile_sweep_publication,image,1d,dense,1,15,1,cpu_source,46634,46.634,cpu_us,,,,,,,1,1,1000000,1000000,4,1,14,2,block_random,1024
tile_sweep_publication,image,1d,dense,1,15,1,gpu_source,3414,3.414,gpu_us,2,2,1,2,194000009,2,1,1,1000000,1000000,4,1,15,3,block_random,1024
tile_sweep_publication,image,1d,dense,1,20,1,cpu_source,46030,46.03,cpu_us,,,,,,,1,1,1000000,1000000,4,1,16,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,20,1,gpu_source,3083,3.083,gpu_us,2,2,1,2,258000012,2,1,1,1000000,1000000,4,1,17,1,block_random,1024
tile_sweep_publication,image,1d,dense,1,25,1,cpu_source,46107,46.107,cpu_us,,,,,,,1,1,1000000,1000000,4,1,18,2,block_random,1024
tile_sweep_publication,image,1d,dense,1,25,1,gpu_source,3521,3.521,gpu_us,2,2,1,2,322000016,2,1,1,1000000,1000000,4,1,19,3,block_random,1024
tile_sweep_publication,image,1d,dense,1,30,1,cpu_source,45763,45.763,cpu_us,,,,,,,1,1,1000000,1000000,4,1,20,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,30,1,gpu_source,2552,2.552,gpu_us,1,0,0,1,386000019,2,1,1,1000000,1000000,4,1,21,1,block_random,1024
tile_sweep_publication,image,1d,dense,1,40,1,cpu_source,46704,46.704,cpu_us,,,,,,,1,1,1000000,1000000,4,1,22,2,block_random,1024
tile_sweep_publication,image,1d,dense,1,40,1,gpu_source,2148,2.148,gpu_us,1,0,0,1,514000025,2,1,1,1000000,1000000,4,1,23,3,block_random,1024
tile_sweep_publication,image,1d,dense,1,50,1,cpu_source,46376,46.376,cpu_us,,,,,,,1,1,1000000,1000000,4,1,24,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,50,1,gpu_source,3581,3.581,gpu_us,1,0,0,1,642000032,2,1,1,1000000,1000000,4,1,25,1,block_random,1024
tile_sweep_publication,image,1d,dense,1,75,1,cpu_source,46530,46.53,cpu_us,,,,,,,1,1,1000000,1000000,4,1,26,2,block_random,1024
tile_sweep_publication,image,1d,dense,1,75,1,gpu_source,2934,2.934,gpu_us,1,0,0,1,962000048,2,1,1,1000000,1000000,4,1,27,3,block_random,1024
tile_sweep_publication,image,1d,dense,1,100,1,cpu_source,45866,45.866,cpu_us,,,,,,,1,1,1000000,1000000,4,1,28,0,block_random,1024
tile_sweep_publication,image,1d,dense,1,100,1,gpu_source,3054,3.054,gpu_us,1,0,0,1,1282000064,2,1,1,1000000,1000000,4,1,29,1,block_random,1024
tile_sweep_publication,image,1d,sparse,5,1,1,cpu_source,41806,41.806,cpu_us,,,,,,,1,1,1000000,1000000,4,1,30,2,block_random,1024
tile_sweep_publication,image,1d,sparse,5,1,1,gpu_source,2765,2.765,gpu_us,1,0,0,1,28050199,2,1,1,1000000,1000000,4,1,31,3,block_random,1024
tile_sweep_publication,image,1d,sparse,5,2,1,cpu_source,41265,41.265,cpu_us,,,,,,,1,1,1000000,1000000,4,1,32,0,block_random,1024
