experiment,axis_sweep,op,dimension,density,sparse_factor,buffer_size,timing_source,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,n,median_us,median_ms,min_us,max_us,speedup_cpu_over_gpu,gpu_tiles_median,gpu_tiles_min,gpu_tiles_max,gpu_oom_backoffs_median,gpu_oom_backoffs_min,gpu_oom_backoffs_max,gpu_host_fallback_median,gpu_host_fallback_min,gpu_host_fallback_max,gpu_input_rects_median,gpu_input_rects_min,gpu_input_rects_max,gpu_scratch_bytes_median,gpu_scratch_bytes_min,gpu_scratch_bytes_max
tile_sweep_dense_axes,log_axis,image,1d,dense,1,1,cpu_source,1,1,1000000,1000000,4,1,3,45938,45.938,45603,46035,1.1811379939834932,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,dense,1,1,gpu_source,1,1,1000000,1000000,4,1,3,38893,38.893,37925,41024,1.1811379939834932,32,32,32,104,104,104,1,1,1,32,32,32,14800000,14800000,14800000
tile_sweep_dense_axes,log_axis,image,1d,dense,1,2,cpu_source,1,1,1000000,1000000,4,1,3,46373,46.373,45891,47127,2.734257075471698,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,dense,1,2,gpu_source,1,1,1000000,1000000,4,1,3,16960,16.96,16221,17909,2.734257075471698,16,16,16,39,39,39,1,1,1,16,16,16,27600001,27600001,27600001
tile_sweep_dense_axes,log_axis,image,1d,dense,1,3,cpu_source,1,1,1000000,1000000,4,1,3,46334,46.334,45515,46538,2.6347094279540544,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,dense,1,3,gpu_source,1,1,1000000,1000000,4,1,3,17586,17.586,17031,18227,2.6347094279540544,16,16,16,39,39,39,1,1,1,16,16,16,40400001,40400001,40400001
tile_sweep_dense_axes,log_axis,image,1d,dense,1,4,cpu_source,1,1,1000000,1000000,4,1,3,46293,46.293,45781,46977,5.189798206278027,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,dense,1,4,gpu_source,1,1,1000000,1000000,4,1,3,8920,8.92,8861,10693,5.189798206278027,8,8,8,14,14,14,1,1,1,8,8,8,53200002,53200002,53200002
tile_sweep_dense_axes,log_axis,image,1d,dense,1,5,cpu_source,1,1,1000000,1000000,4,1,3,45988,45.988,45720,47375,4.874708501165995,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,dense,1,5,gpu_source,1,1,1000000,1000000,4,1,3,9434,9.434,9258,9569,4.874708501165995,8,8,8,14,14,14,1,1,1,8,8,8,66000003,66000003,66000003
tile_sweep_dense_axes,log_axis,image,1d,dense,1,7,cpu_source,1,1,1000000,1000000,4,1,3,46229,46.229,45435,46252,9.10378101614809,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,dense,1,7,gpu_source,1,1,1000000,1000000,4,1,3,5078,5.078,4642,5086,9.10378101614809,4,4,4,5,5,5,1,1,1,4,4,4,91600004,91600004,91600004
tile_sweep_dense_axes,log_axis,image,1d,dense,1,10,cpu_source,1,1,1000000,1000000,4,1,3,47121,47.121,46123,49990,9.42608521704341,,,,,,,,,,,,,,,
