repartition_interval,gpu,cpu
0,182.813,179.21
1,12.364,0.696141
2,23.1531,1.39306
5,48.5219,3.44014
10,77.088,6.74996
25,117.591,16.1403
50,144.028,29.5942
100,161.39,52.2624
150,168.132,67.7424
200,172.983,84.4309
250,177.155,95.9497
300,177.316,102.751
350,179.893,110.058
400,181.965,121.885
450,180.79,121.038
500,183.485,132.676
600,180.808,131.537
700,184.637,147.495
800,187.464,148.407
900,187.044,146.621
1000,187.59,163.222
1200,188.123,165.698
1400,185.972,165.494
1500,185.927,164.127
1600,189.198,165.091
1800,188.381,166.405
2000,183.304,181.787
