repartition_interval,gpu,gpu_min,gpu_max,cpu,cpu_min,cpu_max
0,182.813,181.137,184.276,179.21,178.708,179.658
1,12.364,12.3516,12.3727,0.696141,0.687981,0.697317
2,23.1531,23.1497,23.1732,1.39306,1.39118,1.39405
5,48.5219,48.4997,48.615,3.44014,3.36581,3.4543
10,77.088,77.0612,77.2273,6.74996,6.73748,6.7523
25,117.591,117.496,117.714,16.1403,16.1044,16.1523
50,144.028,142.824,144.31,29.5942,29.2636,29.9059
100,161.39,159.569,162.647,52.2624,52.2008,52.3817
150,168.132,168.057,168.179,67.7424,67.3556,67.9253
200,172.983,171.177,174.815,84.4309,84.3491,84.7788
250,177.155,175.799,177.904,95.9497,95.8694,96.0868
300,177.316,174.521,178.189,102.751,101.792,103.369
350,179.893,179.268,181.075,110.058,109.829,110.896
400,181.965,181.83,183.793,121.885,121.621,122.543
450,180.79,180.66,183.202,121.038,120.889,122.501
500,183.485,181.974,183.654,132.676,127.867,133.701
600,180.808,179.902,182.266,131.537,131.294,132.366
700,184.637,184.003,185.704,147.495,142.776,148.306
800,187.464,186.341,188.337,148.407,148.391,148.417
900,187.044,180.619,187.964,146.621,145.58,148.875
1000,187.59,186.199,189.465,163.222,160.107,163.976
1200,188.123,187.893,189.754,165.698,164.506,166.571
1400,185.972,185.704,188.288,165.494,165.472,168.124
1500,185.927,179.32,188.812,164.127,163.453,165.621
1600,189.198,188.929,189.805,165.091,164.957,167.845
1800,188.381,186.221,188.415,166.405,166.373,166.441
2000,183.304,181.712,184.201,181.787,181.511,181.864
